;DT_DEMO_InletPressure;DT_DEMO_Temperature;DT_DEMO_PH;DT_DEMO_Peroxide;DT_DEMO_Soda
01.09.2020 00:00;850;70;10.7;20;25
01.09.2020 00:05;853.2280588;70.0450959;10.61744773;19.79237731;25.329446
01.09.2020 00:10;853.6828826;69.94094348;10.55380775;19.97702588;25.46535618
01.09.2020 00:15;858.1049124;70.10391277;10.55421319;19.96474831;25.38017815
01.09.2020 00:20;853.4990101;70.24086892;10.5087531;19.94241328;25.2941155
01.09.2020 00:25;854.3341105;70.24187091;10.57925862;19.98643449;25.24274189
01.09.2020 00:30;856.5071988;70.1819078;10.72229208;19.91952611;24.86706499
01.09.2020 00:35;860.3506818;70.04872974;10.56985135;19.70367373;24.61974263
01.09.2020 00:40;864.1957948;70.1366919;10.5681733;19.66793384;25.12489488
01.09.2020 00:45;858.1509162;70.23275714;10.69434754;19.6029575;24.89117243
01.09.2020 00:50;862.3142165;70.09306997;10.75214449;19.40794749;25.02141298
01.09.2020 00:55;863.5526481;70.08175991;10.58314262;19.19674746;25.25406889
01.09.2020 01:00;860.150743;70.06010258;10.5581832;19.2251894;25.37318994
01.09.2020 01:05;859.4230002;70.18638982;10.7226735;19.07764252;25.31474484
01.09.2020 01:10;862.940696;70.03436255;10.68020804;19.12867562;25.58770171
01.09.2020 01:15;864.8640715;69.9997866;10.64616784;18.99215132;25.68973016
01.09.2020 01:20;862.3819483;69.9701889;10.56963986;18.85644731;25.86797954
01.09.2020 01:25;862.8294881;69.83119637;10.73378549;18.67441646;25.47226721
01.09.2020 01:30;863.0866833;69.92535;10.62437827;18.55783495;25.10362572
01.09.2020 01:35;858.6663066;69.91269396;10.54566591;18.80629811;24.7342043
01.09.2020 01:40;853.8950806;69.75514884;10.40700952;18.62198568;24.6648355
01.09.2020 01:45;849.6452503;69.83328739;10.33988443;18.70959882;24.39740742
01.09.2020 01:50;851.1472976;69.75954311;10.53654487;18.73741359;24.23876495
01.09.2020 01:55;854.5037392;69.83158421;10.66057161;18.90406524;24.31177993
01.09.2020 02:00;854.164584;69.82506509;10.82282427;18.78134082;24.11735221
01.09.2020 02:05;848.8218988;69.88139548;10.67507275;18.96598943;23.96742184
01.09.2020 02:10;844.4860218;69.93896375;10.750378;19.27387636;24.38737761
01.09.2020 02:15;847.5641097;69.94777222;10.8532931;19.55842237;24.22737946
01.09.2020 02:20;844.2639907;69.81604496;10.95691579;19.56885901;24.65354436
01.09.2020 02:25;846.533051;69.74366014;10.92949896;19.61405845;24.26884677
01.09.2020 02:30;842.0958392;69.7464107;10.97996926;19.88115622;24.46020527
01.09.2020 02:35;843.4700205;69.89050356;10.923805;19.96477882;24.9115249
01.09.2020 02:40;841.3084926;69.74559924;10.75470207;20.00385682;25.35373931
01.09.2020 02:45;846.3713157;69.75417619;10.67892577;20.15884082;25.5294971
01.09.2020 02:50;844.1535521;69.68660109;10.62022826;20.16575569;25.86630567
01.09.2020 02:55;842.0737067;69.75840043;10.59965488;20.12098731;25.34240783
01.09.2020 03:00;845.9541424;69.72220307;10.6692143;20.30018165;25.40983017
01.09.2020 03:05;847.0135644;69.59244015;10.52195436;20.22627801;25.29614315
01.09.2020 03:10;851.359098;69.67944164;10.66154976;20.22460042;25.77263338
01.09.2020 03:15;848.4343353;69.79405344;10.68542579;20.14528536;25.47147778
01.09.2020 03:20;845.0022365;69.65575324;10.75081856;20.01418657;25.14600375
01.09.2020 03:25;841.8024236;69.80766311;10.7565766;19.96329671;25.26653286
01.09.2020 03:30;842.7649243;69.92092867;10.71382424;20.05850601;24.91353728
01.09.2020 03:35;844.7373544;70.04674178;10.64488109;20.24541731;25.36162049
01.09.2020 03:40;840.6377673;69.92421111;10.77984029;20.37767382;25.46464003
01.09.2020 03:45;837.9721528;69.93101054;10.72372199;20.44930453;25.54012714
01.09.2020 03:50;834.6771096;69.81916267;10.88530782;20.574834;25.26867634
01.09.2020 03:55;834.1246847;69.98551531;10.91886459;20.71810893;25.4977647
01.09.2020 04:00;834.4548985;69.87304208;10.81375881;20.60911322;25.64933493
01.09.2020 04:05;831.7808266;69.98874484;10.7394168;20.54572064;25.32864033
01.09.2020 04:10;835.8095968;70.01993527;10.86386719;20.71968793;25.81393786
01.09.2020 04:15;834.4935067;70.14359604;10.73470507;20.63683671;25.56348861
01.09.2020 04:20;838.2932462;70.21656512;10.76466016;20.43976238;25.7328636
01.09.2020 04:25;835.3880856;70.26080344;10.86831349;20.21393082;25.46133331
01.09.2020 04:30;832.1462627;70.26437568;10.91784266;20.1665755;25.42030688
01.09.2020 04:35;838.7049007;70.29842184;10.95015551;20.04186199;24.91007818
01.09.2020 04:40;841.5936879;70.29983039;10.94515134;19.76807507;25.23727638
01.09.2020 04:45;838.9597025;70.17623652;11.03441134;19.96401038;25.38149522
01.09.2020 04:50;840.368862;70.32940397;10.97753952;19.96275821;25.08944236
01.09.2020 04:55;840.1668753;70.31078434;10.82371439;20.00811971;25.37724915
01.09.2020 05:00;836.6545581;70.13971381;10.66321305;19.94662521;25.27223875
01.09.2020 05:05;842.0148619;70.10377856;10.57677872;19.79489099;25.27542391
01.09.2020 05:10;844.7441972;70.18996001;10.47859868;19.87699899;24.92972987
01.09.2020 05:15;850.2654291;70.25755751;10.58120242;20.08213989;25.2986403
01.09.2020 05:20;850.5723114;70.21366058;10.53975873;19.86113589;25.5813148
01.09.2020 05:25;847.6159826;70.19988415;10.63037777;19.62389578;25.22780599
01.09.2020 05:30;848.8928348;70.19176371;10.61187788;19.43923239;25.70181681
01.09.2020 05:35;845.1985863;70.05721504;10.74168731;19.34646826;25.85071685
01.09.2020 05:40;845.5070214;69.97964307;10.64507141;19.5655744;25.63311908
01.09.2020 05:45;841.7981483;69.94482429;10.6642738;19.56845022;25.22879073
01.09.2020 05:50;844.7318597;69.96215038;10.68665853;19.55583736;25.10961488
01.09.2020 05:55;846.483246;70.12463264;10.72242354;19.45350728;25.21815527
01.09.2020 06:00;842.7690195;70.2271608;10.83108267;19.47971373;25.02782714
01.09.2020 06:05;838.8524332;70.14159196;10.76209673;19.48607212;24.57942422
01.09.2020 06:10;838.8420512;70.11867475;10.75986429;19.5072706;24.23749461
01.09.2020 06:15;842.7854638;69.99658528;10.72767056;19.33197238;24.60439157
01.09.2020 06:20;844.6757054;69.88159808;10.70108823;19.41597123;24.13525536
01.09.2020 06:25;848.0894097;69.77717747;10.6602236;19.19815231;23.83889747
01.09.2020 06:30;850.6741735;69.83290394;10.5441104;19.37829508;23.90607437
01.09.2020 06:35;849.9401642;69.71168643;10.60056932;19.51561155;24.28037581
01.09.2020 06:40;852.5344895;69.70362939;10.71731195;19.69645079;24.47049903
01.09.2020 06:45;847.3475703;69.79073345;10.82025922;19.59561964;24.13039703
01.09.2020 06:50;844.2441158;69.79116371;10.70558081;19.4535998;24.01749154
01.09.2020 06:55;840.4278106;69.90315949;10.8255215;19.45265566;24.51640063
01.09.2020 07:00;839.5369615;69.89082344;10.96187666;19.46231229;24.23213805
01.09.2020 07:05;840.0064913;69.76199493;11.0766002;19.41269307;24.51580868
01.09.2020 07:10;844.8545449;69.7414821;11.03535634;19.64653946;24.58701245
01.09.2020 07:15;842.9976414;69.85891915;11.08875068;19.58474074;24.88913753
01.09.2020 07:20;839.1122594;69.86256092;11.12373422;19.41838934;25.10173263
01.09.2020 07:25;836.8665709;69.98276845;10.96282144;19.60051174;24.68789599
01.09.2020 07:30;833.6693195;69.82058539;10.88171799;19.80295668;24.98181758
01.09.2020 07:35;837.5671928;69.80327149;10.98461371;19.57431355;25.30726201
01.09.2020 07:40;835.2697288;69.97373655;10.82996774;19.37076907;25.18962929
01.09.2020 07:45;836.182095;70.11725999;10.91786101;19.41199987;25.38585603
01.09.2020 07:50;841.3167273;70.24889561;10.82394398;19.28403989;25.1717735
01.09.2020 07:55;838.8058682;70.29486109;10.88075216;19.43881127;25.15447666
01.09.2020 08:00;839.3202928;70.39066322;10.8347012;19.54200634;24.91937063
01.09.2020 08:05;839.2259694;70.40708208;10.92827366;19.37980262;24.59278229
01.09.2020 08:10;837.0571118;70.4206594;10.81009322;19.5939879;24.40149948
01.09.2020 08:15;837.38989;70.40963156;10.77447325;19.77133238;24.2825155
01.09.2020 08:20;839.4466565;70.25910412;10.63101668;19.87194041;24.16200535
01.09.2020 08:25;837.1544639;70.36712008;10.5457971;20.00012286;24.44529442
01.09.2020 08:30;836.3703103;70.46575075;10.43552069;19.9176314;24.43405886
01.09.2020 08:35;839.1377463;70.35423004;10.36147967;19.88618928;24.30282253
01.09.2020 08:40;843.0563615;70.32293151;10.43327693;19.95182643;24.00947365
01.09.2020 08:45;843.8472746;70.284066;10.40745409;19.98046671;23.61685138
